trade_id,event,ticker,timestamp,price,shares,position_value,cash,portfolio_value,portfolio_weight,signal,reason,stop_loss,take_profit
VWRL.L_2026-06-26 00:00:00_BUY,BUY,VWRL.L,2026-06-26 22:50:12,136.8000030517578,18.274853393491032,2500.0,8000.0,10000.0,0.25,1,SIGNAL ENTRY,133.94731550624832,141.07903437002204
IUSA.L_2026-06-28 00:00:00_BUY,BUY,IUSA.L,2026-06-28 12:46:01,5555.75,0.3599874004409845,2000.0,7254.4471893976815,9754.44718939768,0.2,1,SIGNAL ENTRY,5449.764748388936,5714.727877416597
VWRL.L_2026-06-26_SELL,SELL,VWRL.L,2026-06-29 17:19:27,136.49000549316406,18.417562242738388,2513.813171682053,7768.260361079735,9754.44718939768,0.0,0,SIGNAL EXIT,132.88731794765457,140.0190368114283
IUSA.L_2026-06-28 00:00:00_SELL,SELL,IUSA.L,2026-06-29 17:19:27,5561.5,0.3599874004409845,2002.0699275525355,9770.33028863227,9768.260361079734,0.0,0,SIGNAL EXIT,5449.764748388936,5714.727877416597
TSLA_2026-06-29 00:00:00_BUY,BUY,TSLA,2026-06-29 17:19:27,407.010009765625,1.9655536247392948,800.0,9770.33028863227,9770.33028863227,0.08,1,SIGNAL ENTRY,371.7657470703125,459.87640380859375
VWRL.L_2026-06-30 00:00:00_BUY,BUY,VWRL.L,2026-06-30 12:06:57,137.83999633789062,18.136970882324224,2500.0,8970.33028863227,9770.33028863227,0.25,1,SIGNAL ENTRY,135.12711809759136,141.9093136983395
IUSA.L_2026-06-30 00:00:00_BUY,BUY,IUSA.L,2026-06-30 12:06:57,5614.75,0.3562046395654303,2000.0,6470.330288632271,9770.33028863227,0.2,1,SIGNAL ENTRY,5510.085876147474,5771.746185778789
AAPL_2026-07-01 00:00:00_BUY,BUY,AAPL,2026-07-01 16:12:07,295.5,3.3840947546531304,1000.0,4470.330288632271,9770.33028863227,0.1,1,SIGNAL ENTRY,278.44498552594865,321.082521711077
MSFT_2026-07-01 00:00:00_BUY,BUY,MSFT,2026-07-01 16:12:07,385.8299865722656,2.591815138279048,1000.0,3470.330288632271,9770.33028863227,0.1,1,SIGNAL ENTRY,357.9172058105469,427.69915771484375
ETH-GBP_2026-07-02 00:00:00_BUY,BUY,ETH-GBP,2026-07-02 16:35:34,1264.47998046875,0.3954194670718686,500.0,2470.330288632271,9770.33028863227,0.05,1,SIGNAL ENTRY,1153.8620082310267,1430.4069388253347
TSLA_2026-06-29_SELL,SELL,TSLA,2026-07-02 21:02:57,,1.9655536247392948,,,9770.33028863227,0.0,0,CONFIRMED SIGNAL EXIT,371.7657470703125,459.87640380859375
VWRL.L_2026-06-30 00:00:00_SELL,SELL,VWRL.L,2026-07-03 00:48:33,137.8800048828125,18.136970882324224,2500.725633814292,5271.055922446563,9770.33028863227,0.0,0,CONFIRMED SIGNAL EXIT,135.12711809759136,141.9093136983395
TSLA_2026-07-03_BUY,BUY,TSLA,2026-07-03 00:48:33,393.4500122070313,2.0332951459639155,800.0,5271.055922446563,9771.055922446563,0.08,1,SIGNAL ENTRY,348.8231942313058,460.39023917061945
SGLN.L_2026-07-03_BUY,BUY,SGLN.L,2026-07-03 13:23:43,6061.30810546875,0.2474713335635654,1500.0,4971.055922446563,9771.055922446563,0.15,1,SIGNAL ENTRY,5840.810477120535,6392.054547991072
ETH-GBP_2026-07-03_BUY,BUY,ETH-GBP,2026-07-03 13:23:43,1302.5400390625,0.3838653592252517,500.0,3471.055922446564,9771.055922446563,0.05,1,SIGNAL ENTRY,1190.6432582310267,1470.3852103097097
IUSA.L_2026-06-30 00:00:00_SELL,SELL,IUSA.L,2026-07-04 11:43:03,5595.25,0.3562046395654303,1993.054009528474,4964.109931975037,9771.055922446563,0.0,0,CONFIRMED SIGNAL EXIT,5510.085876147474,5771.746185778789
SGLN.L_2026-07-03_SELL,SELL,SGLN.L,2026-07-06 14:29:22,6022.69970703125,0.2474713335635654,1490.445528151918,6454.555460126956,9764.109931975036,0.0,0,CONFIRMED SIGNAL EXIT,5840.810477120535,6392.054547991072
IUSA.L_2026-07-06_BUY,BUY,IUSA.L,2026-07-06 14:29:22,5597.0,0.3573342862247632,2000.0,6454.555460126956,9754.555460126956,0.2,1,SIGNAL ENTRY,5497.253766741072,5746.619349888393
TSLA_2026-07-03_SELL,SELL,TSLA,2026-07-06 14:34:39,395.6099853515625,2.0332951459639155,804.3918629101877,5758.947323037144,9754.555460126956,0.0,0,CONFIRMED SIGNAL EXIT,348.8231942313058,460.39023917061945
MSFT_2026-07-01 00:00:00_SELL,SELL,MSFT,2026-07-06 14:39:53,381.5299987792969,2.591815138279048,988.8552265437684,6747.802549580912,9758.947323037144,0.0,0,CONFIRMED SIGNAL EXIT,357.9172058105469,427.69915771484375
TSLA_2026-07-06_BUY,BUY,TSLA,2026-07-06 15:11:14,403.5199890136719,1.9658504448352,793.2599499024217,6747.802549580912,9747.802549580912,0.0793259949902421,1,SIGNAL ENTRY,352.6514195033482,479.8228432791574
